strategy,strategy_family,config_id,batch_size,lookback_batches,stability,epsilon,traces,success_rate,median_shots,mean_shots,p95_shots,max_shots,median_tvd,mean_tvd,p95_tvd,max_tvd,stable_stop_rate,max_budget_rate
stable_shots_b50_lb3_k3_eps0p005,stable_shots,b50_lb3_k3_eps0p005,50.0,3.0,3.0,0.005,180,0.9944444444444445,7525.0,10210.277777777777,20000.0,20000.0,0.01993498546980945,0.018060179547317937,0.03882221472955792,0.054676582278481,0.7277777777777777,0.2722222222222222
stable_shots_b100_lb2_k1_eps0p005,stable_shots,b100_lb2_k1_eps0p005,100.0,2.0,1.0,0.005,180,1.0,7650.0,10596.666666666666,20000.0,20000.0,0.017952777777777748,0.01572853579611792,0.03553097336065563,0.0457260869565217,0.6944444444444444,0.3055555555555556
stable_shots_b100_lb2_k2_eps0p005,stable_shots,b100_lb2_k2_eps0p005,100.0,2.0,2.0,0.005,180,1.0,8400.0,10947.777777777777,20000.0,20000.0,0.01551519607843135,0.014480220053509848,0.0336051515151514,0.0454032258064516,0.6777777777777778,0.32222222222222224
stable_shots_b50_lb5_k1_eps0p005,stable_shots,b50_lb5_k1_eps0p005,50.0,5.0,1.0,0.005,180,1.0,8525.0,10968.888888888889,20000.0,20000.0,0.01549852941176465,0.014387715663184928,0.033383553389455,0.0384514563106796,0.6777777777777778,0.32222222222222224
stable_shots_b250_lb1_k1_eps0p005,stable_shots,b250_lb1_k1_eps0p005,250.0,1.0,1.0,0.005,180,1.0,8875.0,11252.777777777777,20000.0,20000.0,0.01465227272727265,0.013433784653640727,0.031116894409937843,0.0382833333333333,0.6777777777777778,0.32222222222222224
stable_shots_b50_lb5_k2_eps0p005,stable_shots,b50_lb5_k2_eps0p005,50.0,5.0,2.0,0.005,180,1.0,9100.0,11218.333333333334,20000.0,20000.0,0.0136315217391304,0.013345472932455247,0.030970352355608056,0.0370820987654321,0.6722222222222223,0.3277777777777778
stable_shots_b50_lb5_k3_eps0p005,stable_shots,b50_lb5_k3_eps0p005,50.0,5.0,3.0,0.005,180,1.0,9325.0,11399.722222222223,20000.0,20000.0,0.01298989039602755,0.012563028930478308,0.030656811854863922,0.0363071428571428,0.6666666666666666,0.3333333333333333
stable_shots_b100_lb3_k1_eps0p005,stable_shots,b100_lb3_k1_eps0p005,100.0,3.0,1.0,0.005,180,1.0,9500.0,11521.111111111111,20000.0,20000.0,0.01299411764705875,0.012254449062876269,0.02987613984674327,0.0334088785046729,0.6333333333333333,0.36666666666666664
stable_shots_b100_lb3_k2_eps0p005,stable_shots,b100_lb3_k2_eps0p005,100.0,3.0,2.0,0.005,180,1.0,10050.0,11826.111111111111,20000.0,20000.0,0.0113762096774193,0.011213992103419761,0.0285595509654243,0.0328185185185185,0.6111111111111112,0.3888888888888889
stable_shots_b50_lb5_k10_eps0p005,stable_shots,b50_lb5_k10_eps0p005,50.0,5.0,10.0,0.005,180,1.0,10475.0,12127.777777777777,20000.0,20000.0,0.00936410256410255,0.010532276201586296,0.028201715686274418,0.0327651821862348,0.6055555555555555,0.39444444444444443
stable_shots_b100_lb3_k3_eps0p005,stable_shots,b100_lb3_k3_eps0p005,100.0,3.0,3.0,0.005,180,1.0,10500.0,12067.777777777777,20000.0,20000.0,0.0103311583577712,0.010590143163473772,0.02769446969696962,0.0309736842105262,0.6,0.4
stable_shots_b100_lb3_k5_eps0p005,stable_shots,b100_lb3_k5_eps0p005,100.0,3.0,5.0,0.005,180,1.0,10800.0,12392.777777777777,20000.0,20000.0,0.0090724489795918,0.00988890434967877,0.026168235294117614,0.0299214285714285,0.5888888888888889,0.4111111111111111
stable_shots_b50_lb10_k1_eps0p005,stable_shots,b50_lb10_k1_eps0p005,50.0,10.0,1.0,0.005,180,1.0,12000.0,12486.666666666666,20000.0,20000.0,0.009931417112299449,0.009566213871655278,0.023793534212643387,0.028835294117647,0.5833333333333334,0.4166666666666667
stable_shots_b250_lb1_k10_eps0p005,stable_shots,b250_lb1_k10_eps0p005,250.0,1.0,10.0,0.005,180,1.0,12250.0,13341.666666666666,20000.0,20000.0,0.00698076923076915,0.008219570582071976,0.023044540816326415,0.0282349056603773,0.5888888888888889,0.4111111111111111
stable_shots_b100_lb3_k10_eps0p005,stable_shots,b100_lb3_k10_eps0p005,100.0,3.0,10.0,0.005,180,1.0,12450.0,12899.444444444445,20000.0,20000.0,0.008214465408805001,0.00892168207528984,0.023892997157722223,0.0273741573033708,0.5888888888888889,0.4111111111111111
stable_shots_b250_lb2_k1_eps0p005,stable_shots,b250_lb2_k1_eps0p005,250.0,2.0,1.0,0.005,180,1.0,12875.0,12841.666666666666,20000.0,20000.0,0.008424999999999998,0.00870724593760751,0.021134743589743554,0.0243147058823529,0.5777777777777777,0.4222222222222222
stable_shots_b50_lb10_k5_eps0p005,stable_shots,b50_lb10_k5_eps0p005,50.0,10.0,5.0,0.005,180,1.0,13600.0,13186.388888888889,20000.0,20000.0,0.00738055555555555,0.007987460632741541,0.019882389627888273,0.0230563348416289,0.5722222222222222,0.42777777777777776
stable_shots_b100_lb5_k5_eps0p005,stable_shots,b100_lb5_k5_eps0p005,100.0,5.0,5.0,0.005,180,1.0,14550.0,13565.555555555555,20000.0,20000.0,0.00622894736842105,0.007234089233877813,0.018267440476190402,0.0221808219178081,0.5666666666666667,0.43333333333333335
stable_shots_b50_lb10_k10_eps0p005,stable_shots,b50_lb10_k10_eps0p005,50.0,10.0,10.0,0.005,180,1.0,14925.0,13689.722222222223,20000.0,20000.0,0.00604074074074075,0.007037920722670507,0.017589110855609803,0.0211814070351758,0.5611111111111111,0.4388888888888889
stable_shots_b250_lb2_k5_eps0p005,stable_shots,b250_lb2_k5_eps0p005,250.0,2.0,5.0,0.005,180,1.0,15500.0,14141.666666666666,20000.0,20000.0,0.0058264705882352,0.006424554245655507,0.016526249999999906,0.0192479591836734,0.5611111111111111,0.4388888888888889
stable_shots_b500_lb1_k5_eps0p005,stable_shots,b500_lb1_k5_eps0p005,500.0,1.0,5.0,0.005,180,1.0,17000.0,14808.333333333334,20000.0,20000.0,0.0046722222222222,0.005468476645146693,0.014237318840579672,0.0178565217391304,0.5444444444444444,0.45555555555555555
stable_shots_b250_lb2_k10_eps0p005,stable_shots,b250_lb2_k10_eps0p005,250.0,2.0,10.0,0.005,180,1.0,17250.0,15019.444444444445,20000.0,20000.0,0.0041451298701298,0.005192424655486234,0.013924221267454314,0.0174555555555555,0.5444444444444444,0.45555555555555555
stable_shots_b100_lb2_k10_eps0p0025,stable_shots,b100_lb2_k10_eps0p0025,100.0,2.0,10.0,0.0025,180,1.0,19250.0,15197.777777777777,20000.0,20000.0,0.00274110942249235,0.004614059589312821,0.013682255667038259,0.0173813559322033,0.5111111111111111,0.4888888888888889
stable_shots_b250_lb1_k3_eps0p0025,stable_shots,b250_lb1_k3_eps0p0025,250.0,1.0,3.0,0.0025,180,1.0,19375.0,15073.611111111111,20000.0,20000.0,0.00123684210526315,0.00470531827745802,0.013613851351351297,0.0170928571428571,0.5055555555555555,0.49444444444444446
stable_shots_b500_lb1_k10_eps0p005,stable_shots,b500_lb1_k10_eps0p005,500.0,1.0,10.0,0.005,180,1.0,19500.0,16177.777777777777,20000.0,20000.0,0.00166309523809515,0.003631375168570854,0.010677678571428473,0.0138,0.5111111111111111,0.4888888888888889
stable_shots_b500_lb10_k10_eps0p001,stable_shots,b500_lb10_k10_eps0p001,500.0,10.0,10.0,0.001,180,1.0,20000.0,20000.0,20000.0,20000.0,0.0,0.0,0.0,0.0,0.0,1.0
